FECHA,HORA,TAC,FAC,SAG,TLA,XAL,MER,PED,CES,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,SUR,IZT
01/01/2007,1,35,26,22,35,29,28,28,27,28,32,21,26,25,-99,30,29,23,-99
01/01/2007,2,31,21,23,34,21,35,30,21,31,31,19,24,32,-99,23,30,34,-99
01/01/2007,3,27,19,13,34,28,34,30,23,25,27,16,27,32,-99,24,31,32,-99
01/01/2007,4,22,12,9,28,28,31,26,24,26,20,17,19,28,25,28,29,28,-99
01/01/2007,5,16,13,5,24,21,26,15,24,19,20,15,12,22,21,25,26,22,-99
01/01/2007,6,16,11,3,19,17,19,14,20,15,18,15,11,16,19,20,23,20,-99
01/01/2007,7,16,8,4,18,22,23,14,19,9,13,15,8,18,17,21,23,18,-99
01/01/2007,8,17,9,8,18,18,24,12,17,10,12,11,9,20,18,18,24,16,-99
01/01/2007,9,15,9,11,19,14,21,13,17,8,10,8,10,22,14,13,20,14,-99
01/01/2007,10,15,8,12,22,15,22,13,19,7,11,5,8,18,14,14,21,13,-99
01/01/2007,11,15,9,13,21,14,21,14,20,14,13,8,9,19,16,15,22,18,-99
01/01/2007,12,17,16,17,34,19,27,16,22,15,15,11,12,24,17,18,30,22,-99
01/01/2007,13,18,20,16,30,17,30,19,22,17,16,13,17,27,28,21,43,25,-99
01/01/2007,14,26,22,18,30,16,30,18,20,15,18,10,27,22,31,24,41,25,-99
01/01/2007,15,21,25,18,36,14,26,17,21,15,21,11,21,25,25,18,33,20,-99
01/01/2007,16,15,24,21,30,14,15,11,8,16,18,9,12,20,19,6,10,9,-99
01/01/2007,17,16,16,23,23,25,25,7,8,22,19,11,12,27,20,5,9,10,-99
01/01/2007,18,18,19,19,31,28,40,26,5,26,20,12,28,32,29,5,13,19,-99
01/01/2007,19,26,19,23,32,30,46,34,28,17,25,16,31,38,39,30,61,48,-99
01/01/2007,20,27,26,27,28,28,37,32,40,14,29,19,35,28,26,34,60,54,-99
01/01/2007,21,30,27,27,34,29,36,37,34,20,33,18,37,32,33,34,37,46,-99
01/01/2007,22,30,25,28,33,31,36,39,33,20,28,18,32,33,29,34,37,41,-99
01/01/2007,23,27,24,24,32,29,35,37,30,24,27,19,30,32,30,31,35,38,-99
01/01/2007,24,24,25,22,33,25,34,34,28,25,30,18,25,31,29,26,37,38,-99
02/01/2007,1,24,22,23,32,22,32,32,23,26,24,27,24,31,33,20,30,37,-99
02/01/2007,2,23,20,23,30,21,31,26,18,26,21,28,21,31,26,18,26,33,-99
02/01/2007,3,21,19,20,27,20,27,22,15,24,17,27,16,27,26,17,21,19,-99
02/01/2007,4,21,18,20,26,19,24,21,13,23,16,25,17,23,23,19,19,25,-99
02/01/2007,5,19,17,18,25,19,23,17,16,24,16,23,15,22,22,19,23,25,-99
02/01/2007,6,14,16,18,23,18,24,17,17,24,14,25,15,22,19,20,24,26,-99
02/01/2007,7,17,14,20,22,18,27,17,17,25,13,25,18,26,19,21,26,26,-99
02/01/2007,8,19,16,22,26,23,31,18,18,25,15,24,19,29,24,24,31,27,-99
