FECHA,HORA,ACO,ATI,CAM,CHO,COY,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2014,1,-99,18,27,-99,27,-99,37,27,18,-99,30,-99,-99,31,21,26,-99,29,38,26,32,29,22,32,24,31,-99,28,29
01/01/2014,2,-99,17,23,-99,28,-99,34,29,20,-99,-99,-99,-99,30,22,25,-99,28,-99,25,30,24,21,30,20,32,-99,29,27
01/01/2014,3,-99,21,24,-99,27,-99,32,26,22,-99,27,-99,-99,27,19,25,-99,21,31,23,29,26,23,29,16,30,26,23,27
01/01/2014,4,-99,24,26,-99,26,-99,29,30,22,-99,26,-99,-99,25,17,25,-99,21,30,22,28,25,26,29,19,30,25,21,24
01/01/2014,5,-99,26,25,-99,27,-99,27,28,23,-99,25,-99,-99,25,16,24,-99,21,28,22,28,23,23,28,16,29,24,23,22
01/01/2014,6,-99,25,26,-99,25,-99,27,25,25,26,23,-99,-99,24,16,20,24,23,27,21,26,22,27,27,18,28,23,22,21
01/01/2014,7,-99,23,28,-99,24,-99,24,26,27,24,22,-99,-99,22,15,18,23,19,21,18,24,22,27,28,16,27,20,21,20
01/01/2014,8,-99,24,22,-99,22,-99,22,18,25,23,19,-99,-99,22,17,18,22,15,26,16,23,20,27,25,21,24,19,15,18
01/01/2014,9,-99,21,19,-99,21,-99,22,14,24,21,18,-99,-99,20,16,18,21,14,26,14,25,19,24,19,22,26,21,17,15
01/01/2014,10,-99,22,20,-99,25,-99,23,18,28,22,22,-99,-99,21,13,18,22,14,29,15,26,22,25,24,27,29,23,17,17
01/01/2014,11,-99,26,22,-99,28,-99,25,21,27,23,21,-99,-99,23,14,18,24,15,27,16,31,21,22,23,30,25,20,17,16
01/01/2014,12,-99,24,25,-99,28,-99,24,17,28,23,23,-99,-99,24,12,17,24,14,24,17,31,20,23,24,32,24,20,15,16
01/01/2014,13,-99,23,22,-99,26,-99,21,14,26,22,23,-99,-99,26,8,22,23,13,24,16,24,16,20,20,31,25,20,12,13
01/01/2014,14,-99,18,21,-99,21,-99,20,12,22,19,19,-99,-99,17,4,14,20,15,24,15,21,9,17,11,30,15,13,12,13
01/01/2014,15,-99,17,19,-99,15,-99,19,12,22,15,16,-99,-99,15,5,8,16,14,19,13,15,6,18,12,22,8,8,14,15
01/01/2014,16,-99,21,18,-99,11,-99,18,11,22,13,16,-99,-99,16,6,8,10,15,17,13,12,5,22,13,20,8,9,12,14
01/01/2014,17,-99,21,22,-99,12,-99,11,12,23,18,18,-99,-99,19,8,13,9,20,16,17,11,5,27,17,8,10,12,13,15
01/01/2014,18,-99,29,26,-99,17,-99,9,22,17,25,24,-99,-99,35,11,24,12,25,11,27,15,7,38,24,10,11,16,19,19
01/01/2014,19,-99,28,32,-99,29,-99,11,39,19,30,30,-99,-99,40,14,37,17,30,14,36,27,7,42,34,8,16,21,28,26
01/01/2014,20,-99,23,34,-99,38,-99,11,30,25,19,32,-99,-99,42,13,38,20,32,16,48,36,20,36,46,8,20,22,27,29
01/01/2014,21,-99,43,55,-99,39,-99,11,26,32,45,37,-99,-99,49,13,41,26,34,16,47,36,27,52,44,10,35,35,27,32
01/01/2014,22,-99,34,51,-99,46,-99,11,27,27,54,46,-99,-99,53,11,41,30,33,18,46,42,35,49,38,16,35,43,28,33
01/01/2014,23,-99,29,48,-99,43,-99,16,27,27,47,43,-99,-99,55,11,38,29,29,30,46,39,33,46,41,18,32,42,41,38
01/01/2014,24,-99,25,42,-99,39,-99,21,-99,26,38,40,-99,-99,49,12,35,28,32,26,45,37,30,44,45,13,35,42,41,-99
