FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2019,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/01/2019,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/01/2019,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/01/2019,4,22,3,31,31,36,31,27,-99,29,19,33,-99,34,36,-99,35,29,-99,36,36,23,1,36,29,-99,31,15,-99,24,30,-99,30,34,37,36
01/01/2019,5,19,3,26,32,34,27,25,-99,33,16,29,-99,32,35,-99,34,26,-99,39,35,20,2,34,18,-99,29,12,-99,15,30,-99,29,34,33,33
01/01/2019,6,18,3,26,30,33,25,20,-99,23,16,24,-99,30,36,-99,33,24,-99,36,33,19,1,31,21,-99,29,11,-99,15,28,-99,26,32,24,30
01/01/2019,7,15,5,24,30,32,20,22,-99,20,14,24,-99,27,34,-99,33,23,-99,34,33,17,2,25,15,-99,27,12,-99,12,28,-99,25,30,25,29
01/01/2019,8,13,5,21,27,31,18,20,-99,24,11,18,-99,26,32,-99,30,23,-99,33,32,16,2,22,17,-99,23,17,-99,10,23,-99,22,30,22,27
01/01/2019,9,12,10,22,28,29,18,16,-99,18,15,21,-99,38,35,-99,27,41,-99,33,31,17,2,40,14,-99,28,16,-99,23,25,-99,27,31,30,42
01/01/2019,10,10,11,22,30,31,24,16,-99,7,30,25,-99,47,45,-99,32,56,-99,59,25,16,2,36,15,-99,45,19,-99,14,42,-99,28,28,33,55
01/01/2019,11,7,12,14,37,26,23,9,-99,5,27,21,-99,29,36,-99,40,35,-99,44,19,12,4,34,21,-99,27,14,-99,21,53,-99,22,35,30,45
01/01/2019,12,7,18,7,35,26,31,8,-99,10,15,21,-99,14,26,-99,36,19,-99,29,14,11,4,13,25,-99,21,12,-99,18,24,-99,19,26,19,21
01/01/2019,13,6,20,9,23,19,22,4,-99,10,10,20,-99,9,30,-99,22,16,-99,24,20,9,4,11,31,-99,12,12,-99,12,24,-99,21,12,8,19
01/01/2019,14,11,17,13,14,16,13,5,-99,12,6,16,-99,7,19,-99,13,13,-99,18,25,6,2,12,20,-99,11,15,-99,6,16,-99,17,14,11,13
01/01/2019,15,13,14,14,10,15,14,5,-99,11,7,17,-99,9,19,-99,15,17,-99,17,23,5,1,9,16,-99,12,15,-99,5,20,-99,12,13,10,15
01/01/2019,16,14,12,14,9,18,15,5,-99,19,8,18,-99,9,17,-99,15,15,-99,20,17,5,1,7,14,-99,13,18,-99,5,20,-99,8,9,9,14
01/01/2019,17,13,7,20,13,19,12,6,-99,21,8,20,-99,8,13,-99,13,9,-99,14,15,6,1,9,13,-99,15,16,-99,5,17,-99,5,7,14,12
