FECHA,HORA,ACO,CAM,CHO,COY,CUA,FAC,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SJA,SUR,TAH,TLA,TLI,TPN,UIZ,VIF,XAL
01/01/2011,1,7,-99,3,4,16,4,1,-99,-99,0,17,-99,9,3,-99,5,14,2,-99,33,2,-99,2
01/01/2011,2,4,-99,5,4,20,4,0,-99,-99,0,13,-99,2,3,-99,6,10,2,-99,32,0,-99,2
01/01/2011,3,5,-99,8,4,21,5,1,-99,-99,0,11,-99,4,4,-99,6,6,2,-99,26,0,-99,1
01/01/2011,4,5,-99,5,4,23,5,1,-99,-99,1,16,-99,1,4,-99,5,9,2,-99,25,0,-99,2
01/01/2011,5,4,-99,3,4,19,3,1,-99,-99,1,6,-99,9,4,-99,5,11,2,-99,25,0,-99,2
01/01/2011,6,4,-99,4,3,23,4,1,-99,-99,1,9,-99,11,4,-99,6,14,2,-99,27,0,-99,3
01/01/2011,7,5,-99,3,3,27,3,1,-99,-99,1,4,-99,4,4,-99,4,8,1,-99,29,0,-99,2
01/01/2011,8,5,-99,2,3,16,4,1,-99,-99,1,5,-99,1,3,-99,4,11,1,-99,26,0,-99,2
01/01/2011,9,11,-99,7,5,9,7,3,-99,-99,1,5,-99,5,7,-99,8,19,5,-99,20,2,-99,3
01/01/2011,10,25,-99,21,24,28,27,12,-99,-99,15,25,-99,21,18,-99,27,25,18,-99,34,18,-99,20
01/01/2011,11,36,-99,40,44,35,43,42,-99,-99,38,37,-99,43,44,-99,42,37,33,-99,46,40,-99,41
01/01/2011,12,39,-99,38,64,57,53,50,-99,-99,55,43,-99,53,44,-99,58,55,55,-99,52,59,-99,45
01/01/2011,13,41,-99,39,70,67,72,52,-99,-99,54,46,-99,55,45,-99,65,71,72,-99,51,58,-99,47
01/01/2011,14,40,-99,46,58,70,69,57,-99,-99,51,46,-99,56,49,-99,69,71,67,-99,80,60,-99,43
01/01/2011,15,40,-99,49,54,61,58,50,-99,-99,46,45,-99,40,48,-99,66,57,62,-99,73,55,-99,43
01/01/2011,16,39,-99,45,43,60,41,50,-99,-99,45,47,-99,30,45,-99,49,58,45,-99,61,51,-99,40
01/01/2011,17,40,-99,48,33,52,32,41,-99,-99,43,50,-99,24,44,-99,46,59,43,-99,67,46,-99,33
01/01/2011,18,32,-99,22,16,21,11,27,-99,-99,18,46,-99,23,33,-99,31,52,21,-99,55,25,-99,21
01/01/2011,19,19,-99,14,3,17,6,2,-99,-99,3,9,-99,5,13,-99,7,29,7,-99,24,5,-99,4
01/01/2011,20,10,-99,11,2,17,3,0,-99,-99,0,2,-99,1,4,-99,2,9,10,-99,17,0,-99,1
01/01/2011,21,24,-99,11,2,15,7,0,-99,-99,1,1,-99,0,4,-99,2,6,9,-99,13,0,-99,5
01/01/2011,22,26,-99,5,2,7,7,0,-99,-99,1,17,-99,0,7,-99,2,13,4,-99,10,3,-99,10
01/01/2011,23,27,-99,4,2,4,11,3,-99,-99,5,15,-99,0,7,-99,3,12,3,-99,3,9,-99,11
01/01/2011,24,23,-99,2,2,12,7,0,-99,-99,1,5,-99,0,12,-99,2,18,5,-99,8,0,-99,10
02/01/2011,1,22,-99,3,2,7,9,2,-99,-99,1,3,-99,1,13,-99,1,11,4,-99,12,0,-99,1
02/01/2011,2,7,-99,5,2,12,12,1,-99,-99,0,3,-99,4,10,-99,2,4,5,-99,13,0,-99,10
02/01/2011,3,6,-99,3,2,15,12,0,-99,-99,2,3,-99,13,3,-99,2,8,2,-99,14,0,-99,3
02/01/2011,4,4,-99,3,2,18,5,0,-99,-99,0,4,-99,13,3,-99,2,4,2,-99,19,0,-99,1
02/01/2011,5,2,-99,2,1,23,11,0,-99,-99,0,4,-99,14,3,-99,2,7,1,-99,23,0,-99,1
02/01/2011,6,2,-99,2,2,22,8,0,-99,-99,0,5,-99,16,2,-99,2,5,3,-99,18,0,-99,1
02/01/2011,7,3,-99,1,2,10,4,0,-99,-99,0,2,-99,10,3,-99,2,4,3,-99,15,0,-99,1
02/01/2011,8,3,-99,2,3,7,3,0,-99,-99,0,1,-99,10,3,-99,2,6,2,-99,15,-99,-99,2
02/01/2011,9,9,-99,5,10,13,8,5,-99,-99,2,3,-99,11,6,-99,5,6,8,-99,20,3,-99,4
02/01/2011,10,18,-99,19,20,26,22,15,-99,-99,15,19,-99,25,16,-99,19,21,18,-99,24,15,-99,15
02/01/2011,11,38,-99,36,39,36,33,39,-99,-99,30,36,-99,38,31,-99,40,38,23,-99,39,33,-99,-99
02/01/2011,12,52,-99,57,56,50,42,46,-99,-99,48,51,-99,53,38,-99,58,54,36,-99,56,48,-99,37
02/01/2011,13,60,-99,79,69,67,44,62,-99,-99,63,58,-99,69,49,-99,75,75,53,-99,72,61,-99,47
02/01/2011,14,57,-99,86,82,84,70,73,-99,-99,69,64,-99,82,57,-99,85,92,72,-99,89,77,-99,56
02/01/2011,15,65,-99,-99,95,92,85,87,-99,-99,81,79,-99,87,66,-99,99,68,76,-99,97,91,-99,73
02/01/2011,16,70,-99,-99,81,86,83,65,-99,-99,68,84,-99,72,71,-99,74,33,77,-99,65,49,-99,75
02/01/2011,17,77,-99,-99,47,48,58,40,-99,-99,37,59,-99,44,53,-99,44,38,65,-99,51,33,-99,65
02/01/2011,18,66,-99,-99,50,38,32,37,-99,-99,32,52,-99,43,32,-99,48,44,45,-99,50,34,-99,33
02/01/2011,19,45,-99,-99,41,24,12,34,-99,-99,24,41,-99,41,19,-99,37,41,27,-99,53,28,-99,29
02/01/2011,20,28,-99,34,37,23,25,26,-99,-99,16,41,-99,34,12,-99,46,44,10,-99,53,28,-99,18
02/01/2011,21,19,-99,27,17,21,33,8,-99,-99,3,28,-99,18,12,-99,15,37,6,-99,32,4,-99,8
02/01/2011,22,18,-99,16,11,2,33,12,-99,-99,10,12,-99,6,16,-99,13,10,13,-99,25,7,-99,1
02/01/2011,23,13,-99,6,3,6,17,6,-99,-99,6,10,-99,17,4,-99,3,11,8,-99,25,3,-99,1
02/01/2011,24,4,-99,3,2,5,4,2,-99,-99,0,1,-99,15,2,-99,2,4,4,-99,32,0,-99,1
03/01/2011,1,1,-99,2,1,16,1,0,-99,-99,0,1,-99,22,2,-99,7,6,1,-99,36,0,-99,1
