FECHA,HORA,ACO,CAM,CHO,COY,CUA,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2012,1,6,1,8,4,14,7,-99,2,2,7,1,15,2,22,3,-99,3,6,9,2,6,24,-99,2,8,2
01/01/2012,2,10,1,4,1,11,4,-99,2,2,4,1,15,5,3,5,-99,3,3,12,3,5,16,-99,3,5,3
01/01/2012,3,5,1,4,1,7,3,-99,2,2,3,1,17,3,1,4,-99,3,4,15,3,5,9,-99,2,16,3
01/01/2012,4,5,1,5,2,9,3,-99,2,3,3,2,18,3,3,5,-99,3,4,7,3,5,10,-99,2,11,4
01/01/2012,5,4,1,4,2,18,3,-99,2,3,3,1,19,3,2,4,-99,3,5,11,2,3,13,-99,2,13,2
01/01/2012,6,1,1,4,2,21,4,-99,2,3,3,2,15,7,1,6,-99,3,3,6,2,4,14,-99,3,15,5
01/01/2012,7,1,1,3,2,10,3,-99,2,3,3,2,10,7,1,6,-99,3,2,7,2,4,14,-99,2,11,4
01/01/2012,8,2,1,4,2,15,4,-99,2,3,3,2,8,4,1,6,-99,3,3,8,2,4,13,-99,3,14,4
01/01/2012,9,9,4,5,4,33,12,-99,3,7,6,5,11,6,9,7,-99,6,5,14,6,9,22,-99,4,15,6
01/01/2012,10,26,9,20,12,42,20,-99,15,19,21,15,26,20,24,23,-99,20,18,27,21,24,30,-99,19,32,25
01/01/2012,11,42,22,45,44,47,44,-99,41,46,41,36,48,47,44,50,-99,42,43,45,34,45,51,-99,44,56,52
01/01/2012,12,52,44,68,55,53,53,-99,53,59,55,49,52,66,48,60,-99,61,56,56,41,57,60,-99,62,63,60
01/01/2012,13,42,58,79,58,58,58,-99,60,53,55,59,44,59,54,60,-99,61,58,58,51,55,55,-99,65,53,57
01/01/2012,14,41,50,46,57,62,54,-99,53,45,49,51,39,44,54,43,-99,50,59,42,45,51,63,-99,54,46,46
01/01/2012,15,39,41,37,46,54,54,-99,39,38,42,39,42,38,48,38,-99,40,45,32,39,43,52,-99,42,41,35
01/01/2012,16,38,36,36,40,44,42,-99,35,37,38,34,39,35,39,35,-99,37,40,31,34,39,43,-99,40,38,32
01/01/2012,17,35,29,36,35,37,34,-99,31,33,35,31,34,30,34,32,-99,34,33,26,27,34,36,-99,36,33,30
01/01/2012,18,31,29,32,30,29,28,-99,26,26,33,23,32,25,27,27,-99,27,27,22,22,28,31,-99,28,30,27
01/01/2012,19,29,20,18,25,23,14,-99,23,17,27,20,31,18,23,19,-99,21,24,19,-99,22,25,-99,19,25,22
01/01/2012,20,29,17,16,19,15,18,-99,20,15,29,17,29,14,19,18,-99,21,19,14,-99,21,21,-99,16,23,25
01/01/2012,21,25,19,15,18,24,20,-99,17,10,27,14,28,-99,17,14,-99,21,20,17,10,18,19,-99,19,23,26
01/01/2012,22,25,17,10,17,20,21,-99,17,7,25,16,27,7,15,8,-99,19,18,14,9,16,18,-99,12,19,23
01/01/2012,23,24,14,8,16,20,19,-99,15,17,26,15,23,7,14,16,-99,18,17,12,8,13,19,-99,11,18,21
01/01/2012,24,24,15,8,12,21,19,-99,18,21,25,16,20,12,12,17,-99,19,13,10,8,15,16,-99,10,21,19
02/01/2012,1,22,17,13,18,19,20,-99,17,19,24,18,19,18,12,20,-99,19,16,12,-99,16,17,-99,14,20,20
02/01/2012,2,20,16,17,19,20,21,-99,17,16,22,18,20,17,13,18,-99,22,18,12,-99,18,17,-99,17,18,23
02/01/2012,3,20,17,18,14,20,22,-99,17,18,23,17,18,17,15,19,-99,21,14,14,-99,18,18,-99,19,20,22
02/01/2012,4,20,18,15,18,19,17,-99,18,14,22,19,18,18,16,19,-99,20,17,14,-99,15,18,-99,19,17,19
02/01/2012,5,18,11,18,20,16,17,-99,16,12,22,16,16,17,17,14,-99,17,19,14,-99,15,20,-99,16,17,16
02/01/2012,6,17,7,15,11,15,17,-99,15,8,21,14,17,10,11,12,-99,17,14,11,5,12,16,-99,10,17,16
02/01/2012,7,18,4,8,4,17,13,-99,11,5,18,11,16,8,9,7,-99,16,5,7,3,8,12,-99,9,14,15
02/01/2012,8,16,2,6,3,14,11,-99,5,3,14,3,14,6,7,4,-99,13,3,7,2,4,11,-99,5,8,18
02/01/2012,9,18,6,11,6,13,12,-99,8,8,14,8,18,10,9,10,-99,17,6,4,5,7,12,-99,10,12,17
02/01/2012,10,22,9,17,9,14,15,-99,-99,13,15,14,21,-99,9,13,-99,20,9,9,8,-99,13,-99,17,18,17
02/01/2012,11,24,11,23,11,14,15,-99,-99,18,20,12,26,18,12,19,-99,21,11,12,11,-99,14,-99,18,20,18
02/01/2012,12,27,14,25,14,16,15,-99,-99,19,23,18,28,20,11,22,-99,24,14,15,9,-99,13,-99,20,21,-99
02/01/2012,13,27,17,24,14,19,21,-99,-99,18,25,19,28,21,13,22,-99,26,13,15,14,-99,11,-99,20,23,26
02/01/2012,14,28,13,25,12,20,16,-99,-99,24,24,16,28,22,12,24,-99,24,15,18,13,20,12,-99,22,26,24
02/01/2012,15,28,13,26,-99,16,17,-99,8,20,27,10,28,23,10,23,-99,22,10,15,15,20,12,-99,23,28,24
02/01/2012,16,27,13,22,14,14,13,-99,12,13,27,13,26,21,11,19,-99,21,12,11,10,20,12,-99,18,27,23
02/01/2012,17,28,15,-99,14,12,12,-99,15,10,25,12,26,15,11,16,-99,18,12,13,11,22,12,-99,13,26,24
02/01/2012,18,27,16,13,11,15,13,-99,14,11,24,11,26,9,10,14,-99,18,9,8,15,21,11,-99,13,25,24
02/01/2012,19,27,12,9,11,15,14,-99,13,10,21,11,24,9,7,12,-99,16,8,8,14,20,12,-99,11,24,23
02/01/2012,20,25,11,12,8,17,13,-99,14,9,23,13,24,8,6,9,-99,16,7,7,16,17,8,-99,10,24,22
02/01/2012,21,28,13,9,8,15,18,-99,9,10,25,7,23,6,7,11,-99,19,6,9,7,17,8,-99,12,23,27
02/01/2012,22,30,7,9,7,19,20,-99,4,12,20,8,23,11,11,16,-99,23,8,5,11,13,12,-99,10,25,25
02/01/2012,23,32,6,11,14,20,22,-99,3,15,18,7,21,16,16,20,-99,21,15,4,10,19,16,-99,4,25,29
02/01/2012,24,33,19,15,14,23,26,-99,7,19,23,15,18,19,17,22,-99,28,14,8,10,23,18,-99,8,27,32
03/01/2012,1,29,12,17,18,25,28,-99,8,23,24,16,23,24,20,25,-99,24,21,9,15,24,20,-99,12,25,32
03/01/2012,2,28,14,23,22,28,30,-99,8,25,28,16,21,26,23,29,-99,22,24,11,18,26,26,-99,13,30,33
03/01/2012,3,27,15,27,24,30,32,-99,12,26,30,21,20,28,25,29,-99,25,25,14,21,22,26,-99,18,21,35
