FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAA,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2019,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/01/2019,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/01/2019,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/01/2019,4,2,35,14,2,1,5,2,5,-99,19,3,3,-99,3,2,32,2,-99,4,3,1,2,4,34,10,11,-99,4,22,-99,11,1,9,5,3,10,4
01/01/2019,5,2,36,16,4,0,4,2,4,-99,14,4,2,-99,2,2,32,2,-99,6,5,2,2,4,34,8,16,-99,1,24,-99,12,1,10,6,3,9,3
01/01/2019,6,2,36,15,2,1,3,2,3,-99,20,2,2,-99,2,2,33,2,-99,5,5,2,1,5,34,12,13,-99,1,25,-99,11,2,7,5,4,7,3
01/01/2019,7,3,32,14,2,1,3,5,3,-99,19,2,2,-99,2,2,34,2,-99,5,4,1,1,3,35,7,17,-99,1,24,-99,13,1,7,5,4,6,3
01/01/2019,8,4,34,16,2,2,3,6,2,-99,14,2,3,-99,2,3,34,3,-99,4,4,2,1,2,35,8,13,-99,1,16,-99,13,4,7,5,4,6,2
01/01/2019,9,12,30,21,9,8,11,13,10,-99,23,2,8,-99,4,10,33,12,-99,6,6,9,11,4,34,6,24,-99,4,19,-99,12,8,10,9,11,6,4
01/01/2019,10,26,39,31,32,23,32,29,26,-99,34,24,27,-99,23,28,35,32,-99,25,28,26,32,27,35,18,39,-99,21,34,-99,35,29,23,32,35,18,24
01/01/2019,11,42,54,36,46,46,57,55,45,-99,40,53,51,-99,59,55,38,54,-99,56,56,55,50,60,50,49,57,-99,51,50,-99,64,45,46,62,58,44,48
01/01/2019,12,55,77,42,52,68,75,81,54,-99,51,76,61,-99,80,71,44,68,-99,68,72,77,62,80,68,66,84,-99,69,61,-99,84,55,70,83,77,64,65
01/01/2019,13,63,105,59,68,80,90,94,43,-99,59,79,72,-99,87,83,52,90,-99,87,95,80,84,81,86,78,118,-99,70,77,-99,80,79,82,100,82,61,81
01/01/2019,14,75,123,55,83,111,104,97,40,-99,69,73,96,-99,90,93,52,87,-99,89,93,88,99,81,66,85,128,-99,79,99,-99,59,91,99,112,105,82,80
01/01/2019,15,82,117,62,91,115,112,104,48,-99,74,81,103,-99,99,100,52,106,-99,105,88,102,107,75,56,75,127,-99,84,109,-99,56,87,95,106,114,78,81
01/01/2019,16,89,101,68,90,102,99,108,52,-99,88,85,106,-99,96,101,52,96,-99,100,87,101,100,57,62,58,121,-99,80,116,-99,54,88,105,79,78,75,81
01/01/2019,17,67,73,65,91,73,92,78,51,-99,91,83,102,-99,72,69,51,57,-99,71,79,61,92,59,61,54,101,-99,53,115,-99,55,85,104,53,58,86,64
01/01/2019,18,50,63,60,77,44,52,57,47,-99,57,86,72,-99,52,48,46,45,-99,51,51,50,48,57,56,47,66,-99,39,78,-99,51,62,91,56,53,60,44
01/01/2019,19,38,58,43,32,40,35,51,35,-99,28,56,21,-99,37,32,36,28,-99,36,39,34,28,48,48,38,49,-99,26,37,-99,41,30,44,44,42,29,33
01/01/2019,20,27,54,28,31,27,17,39,27,-99,11,37,15,-99,21,23,44,21,-99,22,16,15,7,40,47,26,41,-99,21,30,-99,35,18,30,29,27,26,11
01/01/2019,21,24,44,22,31,17,10,27,28,-99,31,38,43,-99,4,14,49,8,-99,10,10,7,31,39,48,13,31,-99,8,22,-99,24,21,22,17,10,21,4
01/01/2019,22,19,42,19,24,22,22,23,20,-99,22,31,29,-99,2,29,39,11,-99,15,26,14,27,23,39,12,29,-99,9,12,-99,21,21,19,4,3,18,2
01/01/2019,23,5,41,17,24,16,22,24,15,-99,16,13,31,-99,3,22,41,16,-99,10,6,6,21,5,42,4,31,-99,10,18,-99,18,19,16,5,8,13,1
01/01/2019,24,9,43,10,26,14,17,22,14,-99,18,15,29,-99,4,22,44,2,-99,11,24,7,21,6,41,11,30,-99,10,21,-99,18,19,-99,5,3,10,1
02/01/2019,1,8,41,13,28,13,17,14,11,-99,22,7,20,-99,3,21,40,1,-99,14,10,6,8,2,40,9,29,-99,6,28,-99,16,20,12,4,2,11,1
02/01/2019,2,8,38,25,26,0,16,7,5,-99,22,2,13,-99,1,17,39,2,-99,5,1,0,2,1,36,6,30,-99,2,25,-99,14,14,8,5,2,7,1
02/01/2019,3,8,40,22,21,2,15,10,11,-99,26,2,14,-99,2,6,35,1,-99,1,1,1,3,8,33,5,32,-99,1,22,-99,12,15,8,5,1,5,1
02/01/2019,4,6,29,19,11,0,4,15,2,-99,24,6,20,-99,1,1,35,2,-99,5,1,1,2,7,29,7,29,-99,4,25,-99,10,4,4,6,3,3,1
02/01/2019,5,6,18,22,13,1,1,10,2,-99,18,3,16,-99,1,0,33,1,-99,2,1,0,4,2,26,7,19,-99,3,16,-99,12,3,5,4,3,6,1
02/01/2019,6,4,17,13,4,0,1,3,2,-99,10,2,14,-99,1,0,32,0,-99,2,1,0,1,2,26,3,7,-99,1,9,-99,6,1,2,4,0,5,1
02/01/2019,7,3,11,13,1,0,1,1,1,-99,1,2,4,-99,1,0,32,0,-99,1,0,0,0,0,27,2,2,-99,1,3,-99,6,1,0,3,0,7,1
02/01/2019,8,3,13,11,1,0,1,1,1,-99,1,2,1,-99,1,1,24,1,-99,1,1,0,1,1,28,1,2,-99,1,2,-99,1,1,1,2,1,6,1
02/01/2019,9,5,17,10,4,2,3,5,3,-99,12,4,4,-99,2,2,26,2,-99,3,3,1,3,3,29,3,7,-99,2,12,-99,5,3,2,4,3,7,2
02/01/2019,10,13,18,34,16,4,9,11,12,-99,17,12,11,-99,7,8,32,10,-99,5,9,7,11,10,37,9,16,-99,4,24,-99,22,6,7,15,13,11,7
02/01/2019,11,27,27,43,27,13,18,25,29,-99,21,21,21,-99,21,21,41,21,-99,13,21,19,21,27,47,17,28,-99,12,30,-99,37,16,16,33,22,16,15
02/01/2019,12,38,45,48,22,25,36,44,38,-99,31,34,-99,-99,-99,33,48,34,-99,36,37,36,39,43,55,32,48,-99,30,40,-99,51,34,28,44,35,30,34
02/01/2019,13,51,57,50,41,39,46,58,40,-99,34,53,-99,-99,-99,52,51,52,-99,48,47,51,48,53,61,56,63,-99,43,46,-99,61,43,38,55,56,38,43
02/01/2019,14,55,66,56,48,54,61,67,42,-99,42,61,-99,-99,-99,68,51,67,-99,54,59,71,60,52,64,58,74,-99,55,59,-99,64,50,51,64,72,46,51
02/01/2019,15,55,68,55,55,58,84,76,45,-99,42,69,-99,-99,61,74,52,75,-99,64,68,74,63,52,65,55,79,-99,60,68,-99,60,61,68,70,69,59,60
02/01/2019,16,54,71,52,64,56,78,71,47,-99,38,78,58,-99,59,66,52,61,-99,58,68,66,61,52,59,48,82,-99,47,67,-99,57,71,79,57,65,63,53
