FECHA,HORA,ACO,ATI,CAM,CHO,CUA,FAC,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SJA,SUR,TAH,TLA,TLI,TPN,UIZ,VIF,XAL
01/01/2011,1,3,3,-99,-99,-99,6,10,7,7,2,-99,-99,3,7,-99,11,-99,5,5,-99,5,7,7
01/01/2011,2,5,4,-99,-99,-99,8,15,10,7,5,-99,-99,3,12,-99,10,-99,6,5,-99,8,19,10
01/01/2011,3,6,4,-99,-99,-99,7,14,8,10,5,-99,-99,4,14,-99,10,-99,7,3,-99,8,15,7
01/01/2011,4,6,4,-99,-99,-99,3,10,7,7,7,-99,-99,3,11,-99,9,-99,7,2,-99,7,9,8
01/01/2011,5,3,2,-99,-99,-99,2,8,7,6,7,-99,-99,2,9,-99,6,-99,5,5,-99,5,8,8
01/01/2011,6,3,2,-99,-99,-99,1,8,5,5,7,-99,-99,1,8,-99,6,-99,5,5,-99,4,6,9
01/01/2011,7,2,2,-99,-99,-99,1,7,4,4,7,-99,-99,1,4,-99,3,-99,2,3,-99,4,7,7
01/01/2011,8,2,1,-99,-99,-99,1,5,5,5,7,-99,-99,1,4,-99,4,-99,2,4,-99,4,3,8
01/01/2011,9,1,4,-99,-99,-99,1,6,6,6,5,-99,-99,1,4,-99,4,-99,2,4,-99,4,2,7
01/01/2011,10,1,6,-99,-99,-99,2,5,6,6,3,-99,-99,1,6,-99,3,-99,5,3,-99,4,4,7
01/01/2011,11,0,5,-99,-99,-99,2,4,4,5,3,-99,-99,1,5,-99,2,-99,9,4,-99,4,2,5
01/01/2011,12,0,2,-99,-99,-99,3,4,2,5,2,-99,-99,2,2,-99,1,-99,6,2,-99,3,0,3
01/01/2011,13,0,0,-99,-99,-99,3,3,2,3,1,-99,-99,1,2,-99,1,-99,3,0,-99,2,0,2
01/01/2011,14,0,0,-99,-99,-99,1,3,2,3,1,-99,-99,1,2,-99,1,-99,2,0,-99,1,0,2
01/01/2011,15,0,0,-99,-99,-99,1,2,2,2,1,-99,-99,1,2,-99,1,-99,1,1,-99,1,0,2
01/01/2011,16,0,0,-99,-99,-99,0,2,2,2,1,-99,-99,1,2,-99,0,-99,0,0,-99,1,0,2
01/01/2011,17,0,0,-99,-99,-99,1,3,2,2,1,-99,-99,1,3,-99,1,-99,0,0,-99,1,0,2
01/01/2011,18,0,0,-99,-99,-99,2,2,2,3,1,-99,-99,2,2,-99,1,-99,0,0,-99,2,0,2
01/01/2011,19,0,0,-99,-99,-99,3,3,2,4,2,-99,-99,1,2,-99,2,-99,1,0,-99,3,0,3
01/01/2011,20,0,0,-99,-99,-99,4,4,2,4,2,-99,-99,2,3,-99,4,-99,1,0,-99,4,0,5
01/01/2011,21,0,0,-99,-99,-99,2,4,2,4,3,-99,-99,2,3,-99,4,-99,1,0,-99,4,0,4
01/01/2011,22,0,0,-99,-99,-99,1,5,2,4,3,-99,-99,2,3,-99,3,-99,3,0,-99,2,0,3
01/01/2011,23,0,0,-99,-99,-99,1,3,2,5,1,-99,-99,3,3,-99,2,-99,5,1,-99,2,0,3
01/01/2011,24,0,0,-99,-99,-99,2,4,2,5,3,-99,-99,2,3,-99,3,-99,2,3,-99,2,1,2
02/01/2011,1,0,0,-99,-99,-99,2,4,8,9,4,-99,-99,1,3,-99,1,-99,2,1,-99,3,2,5
02/01/2011,2,0,0,-99,-99,-99,2,4,9,8,2,-99,-99,1,6,-99,1,-99,2,1,-99,3,0,8
02/01/2011,3,0,0,-99,-99,-99,2,4,6,8,2,-99,-99,1,3,-99,1,-99,2,2,-99,2,1,7
02/01/2011,4,0,0,-99,-99,-99,2,3,3,7,2,-99,-99,1,2,-99,1,-99,2,1,-99,2,0,4
02/01/2011,5,0,0,-99,-99,-99,2,3,2,3,2,-99,-99,2,2,-99,1,-99,2,0,-99,2,0,3
02/01/2011,6,0,0,-99,-99,-99,1,3,1,3,3,-99,-99,2,2,-99,1,-99,1,0,-99,1,0,3
02/01/2011,7,0,0,-99,-99,-99,1,3,3,3,3,-99,-99,2,2,-99,2,-99,2,0,-99,2,0,5
02/01/2011,8,0,0,-99,-99,-99,2,4,2,4,4,-99,-99,4,3,-99,3,-99,3,0,-99,-99,0,9
02/01/2011,9,1,1,-99,-99,-99,4,5,3,6,5,-99,-99,6,4,-99,4,-99,4,2,-99,4,1,5
02/01/2011,10,5,9,-99,-99,-99,7,7,10,7,4,-99,-99,6,7,-99,4,-99,11,13,-99,5,2,6
02/01/2011,11,6,15,-99,-99,-99,20,8,50,14,6,-99,-99,9,26,-99,7,-99,32,20,-99,7,86,-99
02/01/2011,12,3,5,-99,-99,-99,21,10,44,17,11,-99,-99,12,20,-99,12,-99,29,19,-99,9,48,31
02/01/2011,13,2,11,-99,-99,-99,23,13,21,19,12,-99,-99,11,11,-99,9,-99,23,26,-99,11,7,22
02/01/2011,14,3,16,-99,-99,-99,13,12,8,14,8,-99,-99,9,8,-99,8,-99,18,25,-99,8,3,11
02/01/2011,15,4,8,-99,-99,-99,8,8,6,7,5,-99,-99,7,7,-99,7,-99,7,13,-99,7,3,7
02/01/2011,16,4,2,-99,-99,-99,6,5,8,6,3,-99,-99,4,7,-99,3,-99,4,1,-99,3,1,6
02/01/2011,17,5,1,-99,-99,-99,3,2,5,5,0,-99,-99,1,5,-99,1,-99,2,0,-99,1,2,5
02/01/2011,18,1,0,-99,-99,-99,1,2,2,3,1,-99,-99,2,3,-99,2,-99,1,0,-99,1,1,2
02/01/2011,19,0,11,-99,-99,-99,9,3,2,4,1,-99,-99,2,3,-99,2,-99,2,0,-99,2,0,2
02/01/2011,20,0,63,-99,-99,-99,55,9,2,3,11,-99,-99,9,3,-99,2,-99,33,1,-99,2,0,3
02/01/2011,21,0,79,-99,-99,-99,15,47,2,3,58,-99,-99,23,3,-99,27,-99,92,42,-99,32,0,3
02/01/2011,22,0,11,-99,-99,-99,3,22,52,18,42,-99,-99,12,14,-99,6,-99,24,87,-99,36,98,4
02/01/2011,23,40,1,-99,-99,-99,3,5,87,41,9,-99,-99,4,85,-99,6,-99,6,23,-99,13,68,13
02/01/2011,24,29,1,-99,-99,-99,3,5,27,28,12,-99,-99,3,63,-99,4,-99,2,9,-99,12,40,41
03/01/2011,1,5,0,-99,-99,-99,3,15,58,39,18,-99,-99,2,51,-99,2,-99,3,8,-99,46,62,67
03/01/2011,2,5,0,-99,-99,-99,2,5,59,62,-99,-99,-99,2,44,-99,2,-99,-99,10,-99,20,61,82
