FECHA,HORA,ACO,ATI,CAM,CHO,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2012,1,7,5,5,5,5,-99,4,-99,10,9,18,7,9,13,3,7,-99,7,9,6,9,10,3,-99,5,11,8
01/01/2012,2,8,5,6,5,5,-99,4,-99,11,12,17,10,8,16,4,8,-99,9,8,9,10,9,3,-99,6,12,10
01/01/2012,3,5,5,6,5,5,-99,4,-99,9,9,8,9,8,9,3,8,-99,6,9,8,9,9,2,-99,5,12,11
01/01/2012,4,5,4,5,4,5,-99,3,-99,7,8,6,9,5,9,3,6,-99,7,8,8,10,7,2,-99,4,11,10
01/01/2012,5,6,3,4,3,3,-99,2,-99,6,7,6,8,4,8,3,4,-99,7,7,5,7,5,2,-99,5,8,8
01/01/2012,6,4,3,4,2,3,-99,1,-99,5,6,4,8,4,8,2,5,-99,6,6,6,5,4,2,-99,5,7,8
01/01/2012,7,4,3,3,2,2,-99,1,-99,4,5,4,7,4,6,2,4,-99,4,5,6,5,3,-99,-99,4,7,6
01/01/2012,8,4,3,3,2,3,-99,1,-99,4,5,3,6,3,6,2,3,-99,4,5,6,5,3,-99,-99,5,6,6
01/01/2012,9,5,3,3,3,4,-99,3,-99,5,6,5,7,4,7,5,6,-99,5,6,8,8,4,-99,-99,7,6,5
01/01/2012,10,7,5,13,5,6,-99,7,-99,5,7,7,8,6,8,6,9,-99,7,6,10,8,8,-99,-99,10,8,6
01/01/2012,11,11,17,14,8,6,-99,7,-99,6,10,8,9,9,9,6,10,-99,10,7,10,13,10,-99,-99,10,12,8
01/01/2012,12,8,10,12,8,4,-99,9,-99,6,13,7,9,8,10,6,12,-99,7,7,9,15,13,-99,-99,8,14,9
01/01/2012,13,3,6,6,7,5,-99,6,-99,5,8,5,7,3,7,6,8,-99,7,7,7,8,6,-99,-99,7,8,7
01/01/2012,14,2,6,4,2,5,-99,4,-99,3,3,3,5,2,3,4,3,-99,4,6,4,5,4,-99,-99,4,6,3
01/01/2012,15,2,4,2,2,4,-99,4,-99,1,2,2,3,2,3,3,2,-99,2,4,2,6,2,-99,-99,2,6,2
01/01/2012,16,1,2,2,1,2,-99,1,-99,1,2,1,2,2,2,2,1,-99,1,3,1,4,1,-99,-99,2,6,1
01/01/2012,17,2,1,1,1,1,-99,1,-99,0,2,1,2,2,2,1,1,-99,1,2,1,3,1,-99,-99,1,6,1
01/01/2012,18,2,0,1,1,1,-99,1,-99,0,2,1,2,2,2,1,2,-99,1,2,0,3,1,-99,-99,2,5,1
01/01/2012,19,2,1,1,1,1,-99,1,-99,1,2,1,2,2,2,2,2,-99,2,3,1,3,1,-99,-99,3,4,2
01/01/2012,20,2,1,1,2,1,-99,1,-99,1,2,1,2,2,2,2,2,-99,2,3,0,-99,1,-99,-99,3,4,2
01/01/2012,21,2,1,1,1,1,-99,0,-99,0,2,1,2,2,-99,2,1,-99,1,3,1,5,1,-99,-99,2,3,1
01/01/2012,22,2,1,1,2,1,-99,1,-99,0,2,1,2,2,2,2,1,-99,1,3,1,5,1,-99,-99,2,3,1
01/01/2012,23,1,3,1,2,1,-99,2,-99,1,2,1,2,2,2,2,2,-99,1,3,1,4,2,-99,-99,2,3,1
01/01/2012,24,1,1,1,2,1,-99,2,-99,0,2,1,2,2,2,2,1,-99,1,3,1,4,1,-99,-99,2,3,1
02/01/2012,1,1,1,1,2,1,-99,1,-99,0,2,1,2,2,2,2,2,-99,1,3,0,-99,1,-99,-99,2,3,1
02/01/2012,2,1,1,1,1,0,-99,0,-99,0,2,1,2,2,2,2,2,-99,1,3,1,-99,1,-99,-99,2,3,1
02/01/2012,3,1,0,1,1,0,-99,0,-99,0,2,1,2,2,1,1,2,-99,1,3,0,-99,1,-99,-99,2,2,1
02/01/2012,4,1,0,1,1,0,-99,0,-99,0,2,1,2,2,1,1,2,-99,1,3,0,-99,1,-99,-99,2,2,1
02/01/2012,5,1,0,1,1,0,-99,0,-99,0,2,1,2,2,1,1,1,-99,0,2,0,-99,1,-99,-99,2,2,1
02/01/2012,6,1,0,1,1,0,-99,0,-99,0,2,1,2,2,1,1,2,-99,1,2,0,4,1,-99,-99,2,2,1
02/01/2012,7,1,0,1,1,0,-99,0,-99,0,1,1,2,2,1,1,1,-99,0,3,0,4,1,-99,-99,2,2,0
02/01/2012,8,1,0,2,1,0,-99,0,-99,0,2,1,3,2,2,1,2,-99,1,3,0,6,2,-99,-99,2,2,0
02/01/2012,9,1,0,2,1,0,-99,1,-99,1,2,1,3,1,2,2,2,-99,1,3,0,4,1,-99,-99,2,3,0
02/01/2012,10,1,0,1,1,0,-99,1,-99,-99,2,1,2,2,-99,2,2,-99,1,3,0,4,-99,-99,-99,2,2,1
02/01/2012,11,2,0,1,1,0,-99,0,-99,-99,2,1,2,2,1,2,1,-99,3,3,0,4,-99,-99,-99,2,2,1
02/01/2012,12,1,0,1,1,0,-99,0,-99,-99,1,0,2,1,1,2,1,-99,2,3,0,5,-99,-99,-99,2,2,-99
02/01/2012,13,1,0,1,1,0,-99,0,-99,-99,1,1,2,1,1,1,1,-99,1,3,0,5,-99,-99,-99,2,2,1
02/01/2012,14,1,0,1,1,0,-99,0,-99,-99,1,1,2,1,2,1,1,-99,1,3,0,5,1,-99,-99,2,2,1
02/01/2012,15,1,0,1,1,0,-99,1,-99,1,1,1,3,1,1,1,1,-99,1,3,0,4,1,-99,-99,2,2,1
02/01/2012,16,1,1,1,1,0,-99,0,-99,1,1,1,2,1,1,2,1,-99,0,3,0,4,1,-99,-99,2,2,1
02/01/2012,17,1,0,1,-99,0,-99,1,-99,0,2,1,2,1,2,1,1,-99,2,3,0,3,1,-99,-99,2,2,1
02/01/2012,18,1,0,1,1,0,-99,0,-99,0,2,1,2,1,2,1,1,-99,1,3,0,4,1,-99,-99,2,2,1
02/01/2012,19,1,0,1,2,0,-99,1,-99,0,1,0,2,1,2,1,1,-99,1,3,0,3,1,-99,-99,1,2,1
02/01/2012,20,1,0,1,1,0,-99,1,-99,0,2,0,2,1,1,1,2,-99,0,3,0,3,1,-99,-99,1,2,0
02/01/2012,21,1,0,1,1,0,-99,0,-99,0,2,1,2,1,2,1,1,-99,0,2,0,4,1,-99,-99,1,2,1
02/01/2012,22,1,0,1,1,0,-99,0,-99,1,2,1,2,1,1,1,2,-99,0,2,0,3,1,-99,-99,1,2,1
02/01/2012,23,1,0,2,1,0,-99,0,-99,1,1,1,2,2,1,1,2,-99,0,2,0,3,1,-99,-99,1,2,0
02/01/2012,24,1,0,1,1,0,-99,0,-99,1,1,0,2,1,1,1,1,-99,0,2,-99,4,1,-99,-99,1,2,0
03/01/2012,1,1,0,1,1,0,-99,0,-99,1,1,0,2,1,1,1,1,-99,0,2,0,3,1,-99,-99,1,2,0
03/01/2012,2,0,0,1,1,0,-99,0,-99,1,2,1,-99,1,1,1,1,-99,0,2,0,3,1,-99,-99,1,3,0
03/01/2012,3,1,0,1,1,0,-99,0,-99,1,3,1,-99,1,1,1,2,-99,0,2,0,3,1,-99,-99,1,2,0
03/01/2012,4,0,1,1,1,0,-99,0,-99,1,2,1,2,1,1,1,2,-99,0,2,0,3,3,-99,-99,1,2,0
03/01/2012,5,1,2,3,1,0,-99,1,-99,1,2,1,2,1,1,1,2,-99,0,2,0,5,3,-99,-99,1,2,1
03/01/2012,6,1,1,3,1,0,-99,1,-99,2,2,1,3,2,1,1,2,-99,0,2,0,5,1,-99,-99,1,2,1
03/01/2012,7,1,1,3,2,0,-99,1,-99,2,2,1,3,1,1,1,2,-99,0,2,0,5,1,-99,-99,1,4,1
03/01/2012,8,1,3,2,2,0,-99,2,-99,0,2,1,3,1,2,1,2,-99,1,2,0,6,2,-99,-99,1,10,2
03/01/2012,9,1,8,5,2,0,-99,3,-99,1,3,1,3,2,1,1,2,-99,1,2,0,12,11,-99,-99,2,15,2
03/01/2012,10,1,4,10,2,0,-99,3,-99,2,3,1,6,2,2,1,2,-99,1,2,0,10,15,-99,-99,2,12,1
03/01/2012,11,1,2,8,1,0,-99,2,-99,3,-99,1,8,2,3,1,2,-99,1,2,-99,7,7,-99,-99,2,5,2
03/01/2012,12,1,2,4,1,0,-99,1,-99,2,-99,2,5,2,2,1,2,-99,1,3,-99,7,4,-99,-99,4,4,3
03/01/2012,13,1,3,3,1,0,-99,3,-99,2,-99,1,4,2,3,1,2,-99,1,3,-99,6,3,-99,-99,-99,4,2
03/01/2012,14,1,3,2,1,0,-99,4,-99,2,2,2,3,2,3,2,2,-99,1,3,1,5,2,-99,-99,3,3,3
03/01/2012,15,1,2,2,1,1,-99,2,-99,-99,3,2,3,2,2,2,2,-99,2,3,1,6,2,-99,-99,3,3,3
03/01/2012,16,1,2,2,2,2,-99,1,-99,2,3,2,3,2,2,2,2,-99,2,3,1,5,2,-99,-99,3,3,3
03/01/2012,17,1,2,2,2,2,-99,2,-99,-99,2,2,3,2,3,3,2,-99,1,3,1,6,2,-99,-99,3,3,3
03/01/2012,18,1,24,2,3,1,-99,3,-99,2,3,2,4,2,3,2,2,-99,2,4,1,9,9,-99,-99,3,3,3
03/01/2012,19,1,115,4,3,2,-99,63,-99,2,3,2,4,3,3,2,2,-99,2,4,1,16,6,-99,-99,3,3,2
03/01/2012,20,1,175,16,2,9,-99,133,-99,6,3,3,8,2,3,30,2,-99,1,24,1,28,10,-99,-99,3,3,2
03/01/2012,21,1,125,10,2,56,-99,137,-99,17,2,2,12,5,2,104,1,-99,1,79,1,13,3,-99,-99,2,2,3
03/01/2012,22,1,156,8,2,55,-99,134,-99,13,3,7,10,2,2,94,1,-99,1,80,1,11,3,-99,-99,2,2,7
03/01/2012,23,1,128,14,2,32,-99,114,-99,21,3,7,22,2,2,78,2,-99,7,73,1,9,3,-99,-99,7,3,6
03/01/2012,24,1,27,17,2,23,-99,80,-99,26,2,3,35,2,2,69,2,-99,9,59,4,11,10,-99,-99,5,4,7
04/01/2012,1,1,34,12,2,24,-99,57,-99,37,2,4,19,2,2,60,1,-99,8,78,4,11,9,-99,-99,3,6,7
04/01/2012,2,2,55,11,1,23,-99,44,-99,22,3,3,19,2,2,47,2,-99,2,57,3,12,8,-99,-99,2,13,5
04/01/2012,3,2,42,9,2,13,-99,30,-99,3,19,2,6,2,2,31,3,-99,2,10,3,19,12,-99,-99,2,39,6
04/01/2012,4,1,25,15,5,8,-99,20,-99,2,38,2,4,2,2,19,6,-99,2,6,2,45,27,-99,-99,2,68,8
04/01/2012,5,1,22,16,2,6,-99,9,-99,2,36,2,4,2,5,10,25,-99,2,5,3,33,26,-99,-99,2,30,14
04/01/2012,6,1,15,20,3,4,-99,7,-99,4,24,2,5,2,5,7,39,-99,3,5,3,26,43,-99,-99,2,40,10
04/01/2012,7,2,13,19,4,5,-99,6,-99,16,11,3,15,3,6,6,16,-99,6,5,3,27,42,-99,-99,3,15,20
04/01/2012,8,2,15,18,4,9,-99,7,-99,23,9,8,30,4,13,6,9,-99,6,6,4,25,34,-99,-99,5,12,23
04/01/2012,9,3,24,22,5,11,-99,11,-99,28,16,13,35,4,14,10,13,-99,14,9,7,30,27,-99,-99,16,27,32
